disease,count
influenza,58
pneumonia,52
severe acute respiratory syndrome,20
hepatitis,19
cancer,19
tuberculosis,15
chikungunya,12
acute respiratory distress syndrome,10
bronchiolitis,7
diabetes mellitus,7
infectious disease,7
respiratory failure,7
microcephaly,6
lung cancer,5
obesity,5
diverticulitis,5
dengue fever,5
malaria,5
cystic fibrosis,5
multiple sclerosis,5
meningitis,5
encephalitis,5
aids,4
encephalomyelitis,4
vaccinia virus,4
vasculitis,4
measles,4
colitis,3
respiratory disease,3
yellow fever,,3
chronic kidney disease,3
breast cancer,3
rash,3
avian influenza,2
lung disease,2
suppression,2
peritonitis,2
asthma,2
anemia,2
cor pulmonale,2
pancreatitis,2
yellow fever,2
proteinuria,2
fibromyalgia,2
heart disease,2
congenital heart disease,2
acute respiratory distress syndrome;,2
diabetes mellitus;,2
diabetes mellitus,,2
sarcoma,1
cystic fibrosis.,1
hemophagocytic lymphohistiocytosis,1
pertussis,1
otitis media,,1
respiratory disease,,1
ophthalmoparesis,1
leukopenia,1
toxoplasmosis,1
rubella,1
ulcerative colitis,1
gastritis,1
colorectal cancer,1
liver disease,1
severe acute respiratory syndrome.,1
cardiovascular disease.,1
gout,1
respiratory failure.,1
dementia,1
respiratory failure,,1
cholecystitis,1
keratoconjunctivitis,1
common cold,1
leptospirosis,1
esophageal cancer,1
myelitis,1
vaccinia virus,,1
infectious disease,,1
multiple sclerosis.,1
dermatitis,1
adjustment disorder,1
chronic obstructive pulmonary disease,,1
cardiovascular disease,1
head and neck cancer,1
stroke,1
status epilepticus,1
dengue hemorrhagic fever,1
chickenpox,1
familial mediterranean fever,1
viral disease,1
urticaria,1
acute respiratory distress syndrome.,1
chronic fatigue syndrome,1
thyroiditis,1
