disease,count
influenza,144
pneumonia,86
hepatitis,30
infectious disease,29
cancer,26
asthma,25
rabies,20
respiratory disease,19
encephalitis,18
diarrhea,18
bronchiolitis,17
tuberculosis,16
avian influenza,16
lymphoma,15
severe acute respiratory syndrome,15
malaria,13
measles,13
acute respiratory distress syndrome,12
stomatitis,12
pancreatitis,11
respiratory failure,11
arthritis,10
yellow fever,9
heart disease,,9
thrombocytopenia,9
diabetes mellitus,9
atrial fibrillation,8
anemia,8
stroke,8
encephalopathy,8
liver disease,8
cardiac arrest,8
heart disease,8
mitral valve disease,7
pulmonary hypertension,7
rash,7
suppression,7
hypoglycemia,7
chikungunya,7
gastroenteritis,7
acute pancreatitis,7
epilepsy,7
congestive heart failure,7
metabolic acidosis,7
pneumothorax,7
enteropathy,6
herpes simplex,6
pulmonary edema,6
proteinuria,6
meningitis,6
urinary tract infection,6
respiratory disease.,6
obesity,6
lung disease,,6
cirrhosis,6
aspergillosis,6
shortness,6
chronic obstructive pulmonary disease,6
lung disease,5
smallpox,5
chronic kidney disease,5
leukopenia,5
pulmonary fibrosis,5
anthrax,5
infectious disease.,5
rhinitis,5
bacterial pneumonia,5
cardiomyopathy,5
congestive heart failure,,5
viral disease,5
leukemia,5
pulmonary hypertension.,5
leishmaniasis,5
hyperglycemia,5
chronic obstructive pulmonary disease.,5
eosinophilia,4
peritonitis,4
chronic kidney disease.,4
respiratory failure.,4
respiratory failure,,4
hypophosphatemia,4
pharyngitis,4
migraine,4
viral pneumonia,4
glioma,4
cardiac arrest.,4
neutropenia,4
cystic fibrosis,4
congestive heart failure.,4
colorectal cancer,4
psoriasis,4
malabsorption,4
necrotizing fasciitis,4
severe acute respiratory syndrome.,4
tick-borne encephalitis,4
leptospirosis,4
hypokalemia,4
candidiasis,4
disseminated intravascular coagulation,4
cellulitis,4
babesiosis,4
fasciitis,4
pertussis,3
status epilepticus.,3
bronchopneumonia,3
chronic kidney disease,,3
status epilepticus,3
glomerulonephritis,3
gastrointestinal disease,3
congenital heart disease,,3
urinary tract infection.,3
alopecia,3
tonsillitis,3
osteosarcoma,3
liver disease,,3
lung cancer,3
constipation,3
cardiovascular disease,,3
idiopathic pulmonary fibrosis,3
rheumatoid arthritis,3
hypothyroidism,3
pulmonary embolism,3
acute respiratory distress syndrome,,3
acute respiratory distress syndrome.,3
hemolytic anemia,3
sarcoma,3
colitis,3
multiple myeloma,3
botulism,3
pancreatic cancer,3
myopathy,3
polyneuropathy,3
lactic acidosis,3
pyuria,2
oligodendroglioma,2
hydrocephalus,2
lupus erythematosus,2
neurodegeneration,2
hemophagocytic lymphohistiocytosis,2
plague,2
atherosclerosis,2
pulmonary fibrosis.,2
cerebral aneurysm,2
brain compression.,2
hereditary angioedema,2
insulinoma,2
myeloid leukemia,2
thyroid cancer,2
acute lymphoblastic leukemia,2
atrioventricular block,2
cardiac arrest,,2
urethritis,2
hypogammaglobulinemia,2
avian influenza,,2
lymphadenopathy,2
aids,2
temporal lobe epilepsy,2
psoriatic arthritis,,2
viral disease,,2
myocarditis,2
ankylosing spondylitis,,2
biliary tract disease,2
heart attack,2
diabetic ketoacidosis,2
endometrial cancer,,2
infectious disease,,2
cystitis,2
viral hepatitis,2
breast cancer,2
polycythemia,2
filariasis,2
liver disease.,2
hemoglobinuria,2
pancreatic cancer.,2
hyperthyroidism,2
adenoma,2
atrial fibrillation,,2
tetraplegia,2
patent ductus arteriosus,2
hepatocellular carcinoma,2
methemoglobinemia,2
cardiovascular disease.,2
osteomyelitis,2
transient cerebral ischemia,2
dengue fever,2
neoplasm,2
congestive heart failure?,2
spotted fever,2
post-traumatic stress disorder,2
epiglottitis,2
myelitis,2
kidney failure,2
pericardial effusion,2
angioedema,2
astrocytoma,2
bone disease,2
cardiovascular disease,2
peripheral artery disease,2
otitis media,2
lymphoblastic leukemia,2
conjunctivitis,2
rheumatoid arthritis.,2
respiratory disease,,2
pulmonary tuberculosis,2
glucose intolerance.,2
meningoencephalitis,2
pulmonary hypertension,,2
mediastinitis,2
pulmonary edema.,2
severe acute respiratory syndrome,,2
diabetic ketoacidosis.,2
typhoid fever.,2
gout,2
neuropathy,2
paraplegia,2
spondylitis,2
dermatitis,2
chronic obstructive pulmonary disease,,2
syringomyelia,2
metabolic acidosis.,2
head and neck cancer,,1
endolymphatic hydrops,1
thrombotic thrombocytopenic purpura,,1
mouth disease,1
retinitis,1
interstitial lung disease,1
biliary tract disease,,1
status epilepticus,,1
exocrine pancreatic insufficiency.,1
encephalomyelitis,1
leprosy,1
ovarian cancer,1
common variable immunodeficiency,1
eye disease,,1
membranoproliferative glomerulonephritis,1
thrombotic thrombocytopenic purpura;,1
glycogen storage disease,1
ileus,1
common cold,1
otitis externa,,1
common cold.,1
cysticercosis,1
vaccinia virus.,1
ankylosing spondylitis,1
myasthenia gravis,1
malignant hyperthermia.,1
telogen effluvium,1
