"bibjson.end_page","bibjson.year","bibjson.journal.volume","bibjson.journal.number","bibjson.month","bibjson.start_page","id","_version_","last_updated","bibjson.identifier.id","bibjson.identifier.type","bibjson.keywords","bibjson.subject.code","bibjson.subject.scheme","bibjson.subject.term","bibjson.author.name","bibjson.link.content_type","bibjson.link.type","bibjson.link.url","bibjson.abstract","bibjson.title","bibjson.journal.country","bibjson.journal.license.open_access","bibjson.journal.license.title","bibjson.journal.license.type","bibjson.journal.license.url","bibjson.journal.issns","bibjson.journal.publisher","bibjson.journal.language","bibjson.journal.title","created_date","bibjson.author.affiliation","admin.seal","bibjson.author.orcid_id"
"383",2020,"45","4","4","375","871d3b14f09a49b4a9b32d67ee1f80a8",1669376873885335550,"2020-05-12T01:52:44","0577-7402","pissn","coronavirus","R","LCC","Medicine","Zi-Min WANG","html","fulltext","http://www.plamj.org/index.php/plamj/article/view/2198","Coronavirus mainly causes local infection in birds and mammals. In recent decades, there has been an evidence that it can infect humans. Highly pathogenic coronavirus, including severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), are fatal zoonotic viruses, which have posed a major threat to public health. Severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2, COVID-19) has also seriously endangered the health and safety of the human beings. These coronaviruses transmit through close contact between people, resulting in the development of acute respiratory distress syndrome (ARDS) and multiple organ failure (MOF) and having a higher morbidity and mortality. This article reviews the structure, epidemiology, immunology and treatment of the coronavirus, hoping to provide reference for the prevention, control and treatment of the disease.

DOI: 10.11855/j.issn.0577-7402.2020.04.06","Research progress on human coronavirus and antiviral drugs","CN",1,"CC BY","CC BY","http://www.plamj.org/index.php/plamj/about/submissions#copyrightNotice","0577-7402","Editorial Board of Medical Journal of Chinese People's Liberation Army","ZH","Medical Journal of Chinese People's Liberation Army","2020-05-12T01:52:44",,,
"10",2020,"7","1","3","1","b841a393071a4ca0bd9c3bfa8f3146eb",1669376720076013570,"2020-03-15T12:19:42","10.1186/s40779-020-00240-0","doi","Clinical characteristics","R5-920","LCC","Medicine (General)","Yan-Rong Guo","HTML","fulltext","http://link.springer.com/article/10.1186/s40779-020-00240-0","Abstract An acute respiratory disease, caused by a novel coronavirus (SARS-CoV-2, previously known as 2019-nCoV), the coronavirus disease 2019 (COVID-19) has spread throughout China and received worldwide attention. On 30 January 2020, World Health Organization (WHO) officially declared the COVID-19 epidemic as a public health emergency of international concern. The emergence of SARS-CoV-2, since the severe acute respiratory syndrome coronavirus (SARS-CoV) in 2002 and Middle East respiratory syndrome coronavirus (MERS-CoV) in 2012, marked the third introduction of a highly pathogenic and large-scale epidemic coronavirus into the human population in the twenty-first century. As of 1 March 2020, a total of 87,137 confirmed cases globally, 79,968 confirmed in China and 7169 outside of China, with 2977 deaths (3.4%) had been reported by WHO. Meanwhile, several independent research groups have identified that SARS-CoV-2 belongs to ?-coronavirus, with highly identical genome to bat coronavirus, pointing to bat as the natural host. The novel coronavirus uses the same receptor, angiotensin-converting enzyme 2 (ACE2) as that for SARS-CoV, and mainly spreads through the respiratory tract. Importantly, increasingly evidence showed sustained human-to-human transmission, along with many exported cases across the globe. The clinical symptoms of COVID-19 patients include fever, cough, fatigue and a small population of patients appeared gastrointestinal infection symptoms. The elderly and people with underlying diseases are susceptible to infection and prone to serious outcomes, which may be associated with acute respiratory distress syndrome (ARDS) and cytokine storm. Currently, there are few specific antiviral strategies, but several potent candidates of antivirals and repurposed drugs are under urgent investigation. In this review, we summarized the latest research progress of the epidemiology, pathogenesis, and clinical characteristics of COVID-19, and discussed the current treatment and scientific advancements to combat the epidemic novel coronavirus.","The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak – an update on the status","GB",1,"CC BY","CC BY","http://www.biomedcentral.com/about /license ","2054-9369","BMC","EN","Military Medical Research","2020-03-15T12:19:41","Guangdong Provincial Key Laboratory of Biomedical Imaging and Guangdong Provincial Engineering Research Center of Molecular Imaging",,
,2020,"9","3","3","231","6d3ac86c28d84dbf9ecbda8351ee4b22",1669376836061102080,"2020-03-27T13:46:57","2076-0817","eissn","coronavirus","R","LCC","Medicine","Firas  A. Rabi","pdf","fulltext","https://www.mdpi.com/2076-0817/9/3/231","In December 2019, a cluster of fatal pneumonia cases presented in Wuhan, China. They were caused by a previously unknown coronavirus. All patients had been associated with the Wuhan Wholefood market, where seafood and live animals are sold. The virus spread rapidly and public health authorities in China initiated a containment effort. However, by that time, travelers had carried the virus to many countries, sparking memories of the previous coronavirus epidemics, severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS), and causing widespread media attention and panic. Based on clinical criteria and available serological and molecular information, the new disease was called coronavirus disease of 2019 (COVID-19), and the novel coronavirus was called SARS Coronavirus-2 (SARS-CoV-2), emphasizing its close relationship to the 2002 SARS virus (SARS-CoV). The scientific community raced to uncover the origin of the virus, understand the pathogenesis of the disease, develop treatment options, define the risk factors, and work on vaccine development. Here we present a summary of current knowledge regarding the novel coronavirus and the disease it causes.","SARS-CoV-2 and Coronavirus Disease 2019: What We Know So Far","CH",1,"CC BY","CC BY","http://www.mdpi.com/journal/pathogens/about","2076-0817","MDPI AG","EN","Pathogens","2020-03-27T13:46:57","Department of Clinical Sciences, Faculty of Medicine, Yarmouk University, Irbid 21163, Jordan",1,
"728",2020,"20","4","4","726","e1d0954a60884664af8783f5e7101cf0",1669375865879789570,"2020-03-26T03:48:39","10.3980/j.issn.1672-5123.2020.4.34","doi","infection","RE1-994","LCC","Ophthalmology","Jin-Xin Song",,"fulltext","http://ies.ijo.cn/cn_publish/2020/4/202004034.pdf","At present, the new coronavirus(COVID-19)epidemic is spreading rapidly in Wuhan city Hubei province of China, and has aroused great attention of the international community. There have been clues that the conjunctiva may be one of the entries for the new coronavirus(SARS-CoV-2). In the absence of clinical evidence on ocular infection with SARS-CoV-2. Therefore, understanding the mechanism and cell receptors of coronavirus transmission through ocular surface and the transmission characteristics of homologous coronavirus can provide some suggestions for appropriately ocular protection and identify COVID-19 coexisting with ocular signs for ophthalmologists during this epidemic disease.","Caution of coronavirus transmission through ocular surface","CN",1,"CC BY-NC-ND","CC BY-NC-ND","http://ies.ijo.cn/gjykcn/ch/reader/view_news.aspx?id=20130815015707001","1672-5123","Press of International Journal of Ophthalmology (IJO PRESS)","EN","Guoji Yanke Zazhi","2020-03-26T03:48:39","Department of Ophthalmology, the First Hospital of Xi'an; Shaanxi Institute of Ophthalmology; Department of Ophthalmology, First Affiliated Hospital of Northwest University, Xi'an 710002, Shaanxi Province, China",,
"8",2020,"8","1","3","3","a79257e9c5554d6390fcc176e73f4597",1669377182001004540,"2020-05-18T20:30:43","2312-7821","pissn","coronavirus","RM1-950","LCC","Therapeutics. Pharmacology","B. K. Romanov","html","fulltext","https://www.risksafety.ru/jour/article/view/173","The paper presents data on the coronavirus diseaseCOVID-2019 caused by the SARS-CoV-2 coronavirus, which was temporarily named 2019-nCoV (2019 novel coronavirus) until 11 February 2020. An outbreak of pneumonia of unknown etiology in Wuhan (Hubei province of China) which was first described in an official publication of the Chinese Office of the World Health Organization on December 31, 2019, attracted attention of both dedicated experts and the entire international community. On January 30, 2019 it was recognised as a public health emergency of international concern. The first cases were reported on December 12, 2019 in China, and on January 31, 2020 Russia reported its first two cases of the infection in two Chinese citizens staying in Russia. The causative agent is the new SARS-CoV-2 coronavirus. It had not been detected before, and was first identified by Chinese researchers on January 7, 2020 under the temporary name 2019-nCoV. The aim of the study was to summarise information about coronavirus diseaseCOVID-2019 beginning from the onset of the epidemic until early March 2020. The paper provides general information about coronaviruses, developments of the COVID-2019 epidemic caused by the SARS-CoV-2 coronavirus, and gives an assessment of the global epidemiological situation. It cites the recommendations of national regulatory authorities and the World Health Organization on the treatment of various forms of coronavirus infection and septic shock caused by SARS-CoV-2, including target values of systemic hemodynamics, a list of recommended medicines, methods of their use, and limitations of pharmacotherapy.","Coronavirus disease COVID-2019","RU",1,"CC BY","CC BY","https://www.risksafety.ru/jour/about/submissions#copyrightNotice","2312-7821","Federal State Budgetary Institution «Scientific Centre for Expert Evaluation of Medicinal Products» of the Ministry of Health of the Russian Federation ","RU","???????????? ? ???? ??????????????","2020-05-18T20:30:43","Scientific Center for Expert Evaluation of Medical Products",,
"326",2004,"10","2","2","320","0a1a54a1375845d493798ef99432625d",1669316827302330370,"2020-02-04T15:06:21","10.3201/eid1002.030913","doi","severe acute respiratory syndrome","R","LCC","Medicine","Cynthia S. Goldsmith",,"fulltext","https://wwwnc.cdc.gov/eid/article/10/2/03-0913_article","Severe acute respiratory syndrome (SARS) was first described during a 2002–2003 global outbreak of severe pneumonia associated with human deaths and person-to-person disease transmission. The etiologic agent was initially identified as a coronavirus by thin-section electron microscopic examination of a virus isolate. Virions were spherical, 78 nm in mean diameter, and composed of a helical nucleocapsid within an envelope with surface projections. Herein, we show that infection with the SARS-associated coronavirus resulted in distinct ultrastructural features: double-membrane vesicles, nucleocapsid inclusions, and large granular areas of cytoplasm. These three structures and the coronavirus particles were shown to be positive for viral proteins and RNA by using ultrastructural immunogold and in situ hybridization assays. In addition, ultrastructural examination of a bronchiolar lavage specimen from a SARS patient showed numerous coronavirus-infected cells with features similar to those in infected culture cells. Electron microscopic studies were critical in identifying the etiologic agent of the SARS outbreak and in guiding subsequent laboratory and epidemiologic investigations.","Ultrastructural Characterization of SARS Coronavirus","US",1,"CC BY","CC BY","https://wwwnc.cdc.gov/eid/page/copyright-and-disclaimers","1080-6040","Centers for Disease Control and Prevention","EN","Emerging Infectious Diseases","2019-04-18T23:06:01",,,
,2020,"16","5","5","e1008536","8cf7b725ac7f4953bf634243a33c13a7",1669377758737727490,"2020-06-07T04:32:30","1553-7366","pissn",,"RC581-607","LCC","Immunologic diseases. Allergy","Daolin Tang",,"fulltext","https://doi.org/10.1371/journal.ppat.1008536","Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is a novel coronavirus that has caused a worldwide pandemic of the human respiratory illness COVID-19, resulting in a severe threat to public health and safety. Analysis of the genetic tree suggests that SARS-CoV-2 belongs to the same Betacoronavirus group as severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV). Although the route for viral transmission remains a mystery, SARS-CoV-2 may have originated in an animal reservoir, likely that of bat. The clinical features of COVID-19, such as fever, cough, shortness of breath, and fatigue, are similar to those of many acute respiratory infections. There is currently no specific treatment for COVID-19, but antiviral therapy combined with supportive care is the main strategy. Here, we summarize recent progress in understanding the epidemiological, virological, and clinical characteristics of COVID-19 and discuss potential targets with existing drugs for the treatment of this emerging zoonotic disease.","The hallmarks of COVID-19 disease.","US",1,"CC BY","CC BY","http://journals.plos.org/plospathogens/s/content-license","1553-7366","Public Library of Science (PLoS)","EN","PLoS Pathogens","2020-06-06T05:30:12",,1,
,2020,"5","2","3","e00203-20","f9affb7e1b75449d9cfc0abe779a25a0",1669376341753987070,"2020-05-05T15:54:22","2379-5042","eissn","covid-19","QR1-502","LCC","Microbiology","Stuart Weston","html","fulltext","https://doi.org/10.1128/mSphere.00203-20","The recent emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from the Hubei province in China in late 2019 demonstrates the epidemic potential of coronaviruses. The rapid spread of this virus across the world in only 2 months highlights the transmissibility of this family of viruses and the significant morbidity and mortality that they can cause. We highlight the current state of knowledge of coronavirus biology while answering questions concerning the current outbreak of SARS-CoV-2.The recent emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from the Hubei province in China in late 2019 demonstrates the epidemic potential of coronaviruses. The rapid spread of this virus across the world in only 2 months highlights the transmissibility of this family of viruses and the significant morbidity and mortality that they can cause. We highlight the current state of knowledge of coronavirus biology while answering questions concerning the current outbreak of SARS-CoV-2.","COVID-19: Knowns, Unknowns, and Questions","US",1,"CC BY","CC BY","https://msphere.asm.org/content/proprietary-rights-notice","2379-5042","American Society for Microbiology","EN","mSphere","2020-05-05T15:54:22",,1,
"124",2020,"94",,"05","119","f8e92d3c1fe7455ca6e0f8df0cbb4b68",1669376072747057150,"2020-05-15T04:20:40","1201-9712","pissn","2019- nCoV","RC109-216","LCC","Infectious and parasitic diseases","Mingxuan Xie",,"fulltext","http://www.sciencedirect.com/science/article/pii/S1201971220302046","Background: The rapid spread of the coronavirus disease 2019 (COVID-19), caused by a zoonotic beta-coronavirus entitled 2019 novel coronavirus (2019-nCoV), has become a global threat. Awareness of the biological features of 2019-nCoV should be updated in time and needs to be comprehensively summarized to help optimize control measures and make therapeutic decisions. Methods: Based on recently published literature, official documents and selected up-to-date preprint studies, we reviewed the virology and origin, epidemiology, clinical manifestations, pathology and treatment of 2019-nCoV infection, in comparison with severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV) infection. Results: The genome of 2019-nCoV partially resembled SARS-CoV and MERS-CoV, and indicated a bat origin. The COVID-19 generally had a high reproductive number, a long incubation period, a short serial interval and a low case fatality rate (much higher in patients with comorbidities) than SARS and MERS. Clinical presentation and pathology of COVID-19 greatly resembled SARS and MERS, with less upper respiratory and gastrointestinal symptoms, and more exudative lesions in post-mortems. Potential treatments included remdesivir, chloroquine, tocilizumab, convalescent plasma and vaccine immunization (when possible). Conclusion: The initial experience from the current pandemic and lessons from the previous two pandemics can help improve future preparedness plans and combat disease progression.","Insight into 2019 novel coronavirus — An updated interim review and lessons from SARS-CoV and MERS-CoV","NL",1,"CC BY-NC-ND","CC BY-NC-ND","http://www.elsevier.com/journals/international-journal-of-infectious-diseases/1201-9712/open-access-journal","1201-9712","Elsevier","EN","International Journal of Infectious Diseases","2020-04-25T05:14:18","Department of Geriatrics / Department of Respiratory Medicine, Xiangya Hospital, Central South University, Changsha 410008, China; National Clinical Research Center for Geriatric Disorders, Xiangya Hospital, Central South University, Changsha 410008, China",,
"101",2020,"10","2","04","97","cdee2e8ed3ed4d3795b37441220843cb",1669376680806842370,"2020-04-29T04:05:45","2095-1779","pissn",,"RM1-950","LCC","Therapeutics. Pharmacology","Minzhe Shen",,"fulltext","http://www.sciencedirect.com/science/article/pii/S2095177920302082","The recent pneumonia outbreak caused by a novel coronavirus (SARS-CoV-2) is posing a great threat to global public health. Therefore, rapid and accurate identification of pathogenic viruses plays a vital role in selecting appropriate treatments, saving people’s lives and preventing epidemics. It is important to establish a quick standard diagnostic test for the detection of the infectious disease (COVID-19) to prevent subsequent secondary spread. Polymerase chain reaction (PCR) is regarded as a gold standard test for the molecular diagnosis of viral and bacterial infections with high sensitivity and specificity. Isothermal nucleic acid amplification is considered to be a highly promising candidate method due to its fundamental advantage in quick procedure time at constant temperature without thermocycler operation. A variety of improved or new approaches also have been developed. This review summarizes the currently available detection methods for coronavirus nucleic acid. It is anticipated that this will assist researchers and clinicians in developing better techniques for timely and effective detection of coronavirus infection. Keywords: Coronavirus, Nucleic acid detection, PCR-Based methods, Isothermal nucleic acid amplification-based methods, Microarray-based methods","Recent advances and perspectives of nucleic acid detection for coronavirus","CN",1,"CC BY-NC-ND","CC BY-NC-ND","http://www.elsevier.com/journals/journal-of-pharmaceutical-analysis/2095-1779/guide-for-authors#13361","2095-1779","Elsevier","EN","Journal of Pharmaceutical Analysis","2020-04-29T05:05:45","Institute of Drug Metabolism and Pharmaceutical Analysis, Zhejiang Province Key Laboratory of Anti-Cancer Drug Research, College of Pharmaceutical Sciences, Zhejiang University, Hangzhou, Zhejiang, 310058, China",,
