drug,count
hidroxicloroquina,12
azitromicina,10
ceftriaxona,4
alanina,3
ciclosporina,3
ciprofloxacino,3
aciclovir,2
Efavirenz,2
tobramicina,2
claritromicina,2
zidovudina,2
quinina,2
amoxicilina,2
calcitriol,2
colchicina,2
mesalazina,2
Rilpivirina,1
Sirolimus,1
alcohol etílico,1
Nevirapina,1
Cloroquina,1
clobetasol,1
dexametasona,1
Tenofovir,1
etanol,1
paracetamol,1
azatioprina,1
Didanosina,1
fenilalanina,1
metilprednisolona,1
metformin,1
metronidazol,1
glutatión,1
Lamivudina,1
cefoxitina,1
Tacrolimus,1
ácido fólico,1
