country,count
China,72
Spain,21
Colombia,18
Brazil,8
United States,,7
Italy,7
Hong Kong,7
Honduras,6
United States,6
Argentina,5
Uruguay,5
United States.,4
El Salvador,4
Chile,4
Ecuador,4
India,4
Bolivia,4
Cuba,4
Mexico,4
Australia,4
Paraguay,3
Guatemala,3
Costa Rica,,3
Costa Rica,3
Nicaragua,3
French Polynesia,,2
Costa Rica.,2
Nigeria,2
Cambodia,1
El Salvador,,1
Portugal,1
Bahamas,1
United States;,1
Austria,1
Guyana,1
Japan,1
Seychelles,1
Hong Kong,,1
Saudi Arabia.,1
United Arab Emirates,,1
New Zealand,1
Canada,1
Hong Kong.,1
Bermuda,1
Georgia,1
Jamaica,1
Peru,1
Puerto Rico,1
Singapore,1
Guinea,1
Aruba,1
United Kingdom,,1
Antigua,1
Ireland,1
Andorra,1
Philippines,1
United Kingdom,1
French Polynesia,1
Liberia,1
Barbados,1
Suriname,1
Dominica,1
