disease,count
influenza,46
infectious disease,31
hepatitis,26
encephalitis,19
mouth disease,14
rabies,14
suppression,13
conjunctivitis,11
dengue fever,9
diarrhea,8
viral disease,7
parotitis,6
keratoconjunctivitis,6
mumps,6
thrombocytopenia,6
microcephaly,6
measles,6
hand, foot, and mouth disease,5
yellow fever,5
pneumonia,5
viral hepatitis,5
herpes simplex,5
respiratory disease,4
tuberculosis,4
pharyngitis,4
rash,4
avian influenza,3
venezuelan equine encephalitis,3
encephalomyelitis,3
keratitis,3
infectious disease.,3
malaria,3
infectious disease,,3
substance abuse,3
hand, foot and mouth disease,3
dengue hemorrhagic fever,3
sarcoma,2
pulmonary edema,,2
lymphadenopathy,2
encephalopathy,2
nephritis,2
aseptic meningitis,,2
chronic kidney disease.,2
tick-borne encephalitis,2
eastern equine encephalitis,2
dengue hemorrhagic fever.,2
acute conjunctivitis,2
dengue fever.,2
meningitis,2
gastroenteritis,2
viral hepatitis,,2
respiratory failure,2
cancer,2
pure red cell aplasia,2
opioid abuse,1
polymyalgia rheumatica;,1
filariasis,1
hand, foot, and mouth disease,,1
myositis,1
plague,1
angiodysplasia,1
leukopenia,1
meningoencephalitis,1
rhabdomyosarcoma,1
respiratory disease.,1
pulmonary edema,1
multiple myeloma,1
thalassemia,1
intestinal infectious disease,1
lymphocytopenia,1
chronic fatigue syndrome;,1
asthma,1
substance abuse,,1
herpes zoster,,1
anemia,1
marburg virus disease,1
dengue fever,,1
arthritis,1
dengue hemorrhagic fever,,1
thyroid disease;,1
yellow fever,,1
mouth disease,,1
hemorrhagic disease,1
hypersensitivity,1
osteoarthritis,1
herpes simplex,,1
fibromyalgia,1
cirrhosis,1
acute conjunctivitis.,1
cataract,1
chikungunya,1
viral meningitis.,1
bacterial conjunctivitis,1
nephropathy,1
endophthalmitis,1
infectious disease;,1
