medproc,count
therapy,184
Vaccination,54
Immunization,31
Intubation,27
diagnosing,17
Extracorporeal membrane oxygenation,8
Cardiopulmonary resuscitation,6
Magnetic resonance imaging,5
Tracheal intubation,5
Neuroimaging,4
Nebulization,4
Computed tomography,4
Epidural,4
Auscultation,4
Echocardiography,4
Oxygen therapy,4
Palliative care,4
Hemodialysis,3
General anesthesia,3
Acupuncture,3
Angiography,2
Regional anesthesia,2
Electrocardiography,2
Symptomatic treatment,2
Immunosuppressive therapy,2
Endoscopy,2
Electroretinography,2
Interventional radiology,2
Diffusion tensor imaging,2
Radiography,2
Phage therapy,2
Palpation,1
Urinalysis,1
Radiosurgery,1
Combination therapy,1
Colonoscopy,1
Functional magnetic resonance imaging,1
Ablation,1
Electrical impedance tomography,1
Biopsy,1
Hormone replacement therapy,1
Cardiopulmonary resuscitation,,1
