drug,count
chloroquine,580
hydroxychloroquine,530
azithromycin,286
Chloroquine,285
ribavirin,253
Hydroxychloroquine,214
lopinavir,177
ritonavir,167
Ribavirin,143
alpha,119
adenosine,102
Azithromycin,95
alcohol,85
methylprednisolone,76
ivermectin,68
Ritonavir,65
camostat,65
dexamethasone,64
nitric oxide,59
Alcohol,41
vitamin C,41
creatine,35
alanine,35
ethanol,34
heroin,33
estrogen,33
zanamivir,33
melatonin,32
adenine,31
cyclosporine,31
ibuprofen,28
Sofosbuvir,27
Nafamostat,27
dried,26
nafamostat,26
amantadine,25
Ruxolitinib,24
sofosbuvir,24
acyclovir,22
Amantadine,22
Methylprednisolone,22
ruxolitinib,22
rapamycin,21
atazanavir,19
prednisone,19
nelfinavir,19
methotrexate,19
Serine,18
Ibuprofen,18
buprenorphine,18
aspirin,18
Today,18
efavirenz,18
sirolimus,17
Thalidomide,17
cortisol,17
Kaletra,17
peramivir,16
ganciclovir,16
mycophenolic acid,16
fingolimod,16
Nitric oxide,15
acetaminophen,15
tofacitinib,15
testosterone,15
Zanamivir,15
Saquinavir,14
Nitric Oxide,14
quinine,14
Bromhexine,14
Atazanavir,14
niclosamide,14
lamivudine,14
atorvastatin,13
Nelfinavir,13
zidovudine,13
dopamine,13
clarithromycin,13
glutathione,13
captopril,13
Penciclovir,13
Niclosamide,12
cyclosporin A,12
Disulfiram,12
Zidovudine,12
hydrocortisone,12
N-acetylcysteine,12
Adenosine,11
amiodarone,11
disulfiram,11
azathioprine,11
artemisinin,11
thalidomide,10
vitamin C,,10
Leflunomide,10
Peramivir,10
rifampicin,10
didanosine,10
bromhexine,10
vancomycin,10
cocaine,10
glycine,9
Cobicistat,9
ceftriaxone,9
prednisolone,9
nicotine,9
mycophenolate mofetil,9
imatinib,9
maraviroc,9
rimantadine,9
doxycycline,9
Baloxavir marboxil,9
clopidogrel,9
naloxone,9
cidofovir,9
metformin,8
erythromycin,8
Buprenorphine,8
hydroxyurea,8
norepinephrine,8
Ethanol,8
prostaglandin E2,8
Paritaprevir,8
ibrutinib,8
Doxycycline,8
rilpivirine,8
isoniazid,8
mercaptopurine,8
Ergotamine,8
mycophenolate mofetil,,8
cobicistat,8
Efavirenz,8
fentanyl,8
streptomycin,8
Simeprevir,8
nevirapine,7
dimethyl sulfoxide,7
Creatine,7
simvastatin,7
dipyridamole,7
ambroxol,7
rivaroxaban,7
stavudine,7
tetracycline,7
tacrolimus,7
pravastatin,7
olaparib,7
Foster,7
emtricitabine,7
Simvastatin,7
Metformin,6
Chlorhexidine,6
oxymorphone,6
warfarin,6
bexarotene,6
telaprevir,6
chlorhexidine,6
cisplatin,6
Heroin,6
telmisartan,6
digoxin,6
everolimus,6
pyruvate,6
Prompt,6
crystal violet,6
Telbivudine,6
levofloxacin,6
penciclovir,6
ticagrelor,6
rifabutin,6
saquinavir,6
phenytoin,6
Emtricitabine,6
leflunomide,6
acetylcholine,6
Ciclesonide,6
naproxen,6
Naproxen,6
Carfilzomib,6
Dihydroergotamine,5
Lamivudine,5
bictegravir,5
Ganciclovir,5
clofazimine,5
toremifene,5
Testosterone,5
fluorescein,5
Erythromycin,5
Nicotine,5
Omeprazole,5
pitavastatin,5
dasabuvir,5
Apixaban,5
pentobarbital,5
dasatinib,5
abacavir,5
Velpatasvir,5
Estrogen,5
irbesartan,5
Quinine,5
simeprevir,5
bedaquiline,5
famotidine,5
5-Fluorouracil,5
Valganciclovir,5
Tetracycline,5
omeprazole,5
doxorubicin,4
kanamycin,4
amprenavir,4
Lovastatin,4
Tacrolimus,4
Telmisartan,4
nitric oxide,,4
tipiracil,4
olmesartan,4
Warfarin,4
Prednisone,4
amoxicillin,4
Auranofin,4
Dipyridamole,4
pentoxifylline,4
Telaprevir,4
Rivaroxaban,4
vasopressin,4
tolvaptan,4
ciclosporin,4
lisinopril,4
carfilzomib,4
aprepitant,4
Mycophenolate mofetil,4
Bictegravir,4
Isoniazid,4
cimetidine,4
Clarithromycin,4
venetoclax,4
denatured,4
Aspartate,4
meropenem,4
apixaban,4
Abacavir,4
Intercept,4
linezolid,4
abiraterone,4
Digoxin,4
folic acid,,4
Deferoxamine,4
Olaparib,4
anhydrous,4
Nevirapine,4
succinate,4
Captopril,4
Methotrexate,4
Methamphetamine,4
Fluorescein,4
Cidofovir,4
FTY720,4
ethyl ester,4
phosphatidylserine,4
vorinostat,3
nitrous oxide,3
telbivudine,3
Arginine,3
Glutathione,3
deferoxamine,3
vidarabine,3
leucine,3
eicosapentaenoic acid,3
sitagliptin,3
dactinomycin,3
Etoposide,3
dexmedetomidine,3
desmopressin,3
lidocaine,3
glatiramer acetate,,3
valacyclovir,3
antidiuretic hormone,3
Ticagrelor,3
bortezomib,3
Pentoxifylline,3
Artemisinin,3
Nifedipine,3
Clopidogrel,3
Bexarotene,3
Paliperidone,3
retinoic acid,3
oestrogen,3
NaHCO3,3
Hydroxyurea,3
Ambroxol,3
terbutaline,3
mycophenolic acid,,3
Histidine,3
Tipranavir,3
Toremifene,3
etoposide,3
penicillin G,3
gabapentin,3
acalabrutinib,3
Tranilast,3
Ibrutinib,3
Triazavirin,3
Irinotecan,3
ciprofloxacin,3
Meropenem,3
sodium bicarbonate,3
cladribine,3
Glycine,3
memantine,3
chlorpromazine,3
Tadalafil,3
metronidazole,3
Nilotinib,3
argatroban,3
Fentanyl,3
Itraconazole,3
amiloride,3
Stavudine,3
valsartan,3
spironolactone,3
adrenaline,3
tipranavir,3
Montelukast,3
Duloxetine,3
Indomethacin,3
oxycodone,3
Vitamin B12,3
valganciclovir,3
mitoxantrone,3
Oxycodone,3
tenofovir alafenamide,,3
Albuterol,2
nitro,2
Fosamprenavir,2
Ospemifene,2
etomidate,2
Ademetionine,2
levamisole,2
vigabatrin,2
dibasic,2
Amiodarone,2
sulfasalazine,2
cyclosporin A.,2
reserpine,2
fosamprenavir,2
idoxuridine,2
caffeine,2
Sulfasalazine,2
tigecycline,2
Allopurinol,2
sertraline,2
theophylline,2
telithromycin,2
Acetaminophen,2
nitric oxide.,2
Vildagliptin,2
L-phenylalanine,2
Prednisolone,2
Aprepitant,2
linagliptin,2
Rimantadine,2
Pioglitazone,2
barnidipine,2
Entecavir,2
Roxithromycin,2
Haloperidol,2
Propylthiouracil,2
olanzapine,2
Gosogliptin,2
Zalcitabine,2
flecainide,2
Loratadine,2
vitamin C.,2
decitabine,2
misoprostol,2
isotretinoin,2
Tamoxifen,2
guanidine,2
