drugs,count
ribavirin,90
oseltamivir,42
chloroquine,39
ganciclovir,31
hydroxychloroquine,23
zanamivir,21
valganciclovir,20
tenofovir,19
lamivudine,17
cidofovir,16
ritonavir,15
gemcitabine,15
amantadine,14
adenosine,14
boceprevir,14
sofosbuvir,14
zidovudine,12
telaprevir,12
efavirenz,11
azithromycin,11
lopinavir,11
entecavir,8
simeprevir,8
penciclovir,8
cyclosporine,7
dolutegravir,7
nitazoxanide,6
atazanavir,6
maraviroc,6
valaciclovir,6
rifampicin,6
rimantadine,6
ursodeoxycholic acid,6
probenecid,5
telbivudine,5
amprenavir,5
prednisolone,5
vidarabine,5
dopamine,5
peramivir,5
aciclovir,5
nitric oxide,5
nifedipine,5
mycophenolic acid,5
darunavir,5
famciclovir,5
emtricitabine,5
artesunate,5
lumefantrine,5
raltegravir,5
silibinin,4
doxycycline,4
metformin,4
pimozide,4
daclatasvir,4
leflunomide,4
artemisinin,4
dextran,4
abacavir,4
indinavir,4
nevirapine,4
nelfinavir,4
saquinavir,4
dimethyl sulfoxide,4
cisplatin,4
didanosine,4
azathioprine,3
plerixafor,3
elvitegravir,3
rituximab,3
acetaminophen,3
idoxuridine,3
hexachlorophene,3
amodiaquine,3
etoposide,3
peginterferon alfa-2b,3
methylprednisolone,3
streptomycin,3
stavudine,3
chloramphenicol,3
tetracycline,3
rifabutin,3
ivermectin,3
dexamethasone,3
acetylcysteine,3
sinefungin,3
trifluridine,3
cyclophosphamide,2
doxorubicin,2
ranitidine,2
fusidic acid,2
atorvastatin,2
decitabine,2
misoprostol,2
memantine,2
artemether,2
chlorpromazine,2
bevirimat,2
enfuvirtide,2
triclosan,2
sitagliptin,2
povidone,2
itraconazole,2
clarithromycin,2
mefloquine,2
inosine,2
lovastatin,2
valproic acid,2
indomethacin,2
simvastatin,2
papaverine,2
l-methionine,2
verapamil,2
valproate,2
valproic acid.,2
ascorbic acid,2
teriflunomide,2
puromycin,2
chlorhexidine,2
dasabuvir,2
tipranavir,2
tacrolimus,2
bleomycin,1
cytarabine,1
oxazepam,1
ketotifen,1
infliximab,1
midazolam,1
bevacizumab,1
cysteamine,1
bepridil,1
palivizumab,1
ibuprofen,1
cyclizine,1
kanamycin,1
pentobarbital,1
donepezil,1
methylcellulose,1
travoprost,1
budesonide,1
posaconazole,1
paclitaxel,1
trastuzumab,1
cefsulodine,1
bimatoprost,1
cobicistat,1
thalidomide,1
canrenoic acid,1
fentanyl,1
bromfenac,1
methadone,1
citalopram,1
timolol,1
imatinib,1
prednisone,1
diltiazem,1
trifluoperazine,1
haloperidol,1
erythromycin,1
pertuzumab,1
paracetamol,1
moxifloxacin,1
erlotinib,1
lactulose,1
l-glutamine,1
propofol,1
salicylic acid,1
benzalkonium chloride,1
ambroxol,1
lysergic acid diethylamide,1
tocilizumab,1
clemastine,1
tiotropium bromide,1
amiloride,1
etravirine,1
carbamazepine,1
ethionamide,1
formoterol,1
dorzolamide,1
fluoxetine,1
valsartan,1
fluvastatin,1
thymalfasin,1
clemizole,1
anakinra,1
hydroxyurea,1
ascorbic acid,,1
armodafinil,1
meropenem,1
ursodeoxycholic acid,,1
peginterferon alfa-2a,,1
chlorcyclizine,1
cisapride,1
latanoprost,1
indometacin,1
ampicillin,1
lorazepam,1
ceftriaxone,1
sodium nitrite,1
hydrocortisone,1
felodipine,1
cefepime,1
promethazine,1
metoclopramide,1
amiodarone,1
escitalopram,1
chondroitin sulfate,1
hydroxyprogesterone,1
