CountryName,Hydroxychloroquin,Chloroquine,Azithromycin,Ribavirin,ritonavir,lopinavir,methylprednisol,estrogen,dexamethasone,adenosine,alanine,buprenorphine,vitamin C,creatine
Italy,22,16,8,8,5,2,3,3,2,2,1,0,2,1
Brazil,2,6,0,1,1,0,0,1,0,1,3,0,1,0
India,7,10,5,5,3,1,2,0,1,0,1,0,1,1
France,11,10,8,8,1,0,2,0,0,1,2,0,1,0
Japan,8,14,7,6,3,3,1,0,1,1,1,0,2,1
Singapore,6,12,3,7,2,2,2,0,0,1,0,0,0,0
Taiwan,7,10,5,7,3,2,3,0,1,1,1,0,1,0
South Korea,7,9,0,5,2,4,1,0,1,0,0,0,0,0
Germany,8,7,2,4,1,1,0,0,0,1,0,0,0,0
Australia,4,6,3,3,2,0,0,0,0,0,0,0,1,1
Spain,7,7,3,6,3,1,0,0,0,1,0,0,0,0
Saudi Arabia,13,16,5,11,4,4,4,0,1,2,0,0,0,1
China,40,49,21,28,12,11,10,2,4,4,2,0,5,4
United States,188,227,98,127,51,42,32,12,17,16,14,24,20,11
Hong Kong,75,96,38,56,22,17,16,0,5,5,5,0,9,5
