testTrace,count
infection,2331
treatment,2223
testing,664
diagnosis,618
detection,537
screening,524
prevalence,381
isolation,316
quarantine,194
social distancing,153
polymerase chain reaction,93
tracing,84
social distancing,,75
contact tracing,48
immunofluorescence,40
counseling,37
virus detection,35
contact tracing,,32
physical distancing,31
social distancing.,23
hemagglutination,19
immunoassay,18
nucleic acid test,16
reverse transcription polymerase chain reaction,16
contact tracing.,9
polymerase chain reaction,,7
western blot,7
neutralization test,5
virus detection.,5
polymerase chain reaction;,5
physical distancing,,5
neutralization assay,4
plaque reduction neutralization test,3
neutralization assay,,3
western blot.,3
physical distancing.,3
rapid influenza diagnostic test,2
neutralization test.,2
virus detection,,2
social distancing;,2
rt-pcr,2
neutralization assay.,2
virus detection;,1
social distancing?,1
nucleic acid test,,1
polymerase chain reaction.,1
rapid molecular assay,,1
rapid antigen test,1
reverse transcription polymerase chain reaction,,1
