drugs,count
oseltamivir,27
streptomycin,20
ribavirin,20
adenosine,12
chloroquine,10
dimethyl sulfoxide,10
ifenprodil,9
sofosbuvir,7
zanamivir,7
isoflurane,7
nitric oxide,6
palivizumab,6
amantadine,6
dexamethasone,6
rilpivirine,5
progesterone,5
puromycin,5
etoposide,4
zileuton,4
dextran,4
l-glutamine,4
inosine,3
cidofovir,3
azithromycin,3
ganciclovir,3
pentobarbital,3
phenol,3
fingolimod,3
tryptophan,3
methylprednisolone,3
ketamine,3
lithium,3
methadone,3
ampicillin,3
tetracycline,3
niclosamide,3
erythromycin,3
vorinostat,2
doxycycline,2
phenytoin,2
cyclophosphamide,2
lovastatin,2
clodronate,2
diflunisal,2
bupivacaine,2
hymecromone,2
benzylpenicillin,2
ketorolac,2
memantine,2
mycophenolic acid,2
praziquantel,2
prednisolone,2
gemcitabine,2
oxymorphone,2
minocycline,2
diazoxide,2
glyburide,2
nocodazole,2
sinefungin,2
seliciclib,2
vemurafenib,2
clarithromycin,2
amodiaquine,2
imiquimod,2
tenofovir,1
nitazoxanide,1
benzalkonium chloride,1
bevacizumab,1
furosemide,1
losartan,1
salbutamol,1
clonidine,1
azathioprine,1
baclofen,1
raxibacumab,1
methylcellulose,1
posaconazole,1
entecavir,1
acetylsalicylic acid,1
vidarabine,1
dopamine,1
nivolumab,1
nicotinamide,1
l-phenylalanine,1
adalimumab,1
benzethonium chloride,1
imatinib,1
epinephrine,1
warfarin,1
valproate,1
acetaminophen,1
prednisone,1
rimantadine,1
mitoxantrone,1
fluticasone,1
ascorbic acid,1
ivermectin,1
artemisinin,1
irinotecan,1
erlotinib,1
itraconazole,1
ipriflavone,1
