disease,count
influenza,516
hepatitis,150
chikungunya,118
encephalitis,78
avian influenza,72
pneumonia,68
cancer,59
infectious disease,51
suppression,42
dengue fever,42
yellow fever,40
malaria,40
microcephaly,31
diarrhea,27
respiratory disease,25
tuberculosis,24
viral hepatitis,23
herpes simplex,22
mouth disease,19
gastroenteritis,19
arthritis,19
liver disease,17
rash,16
viral disease,16
rabies,16
measles,15
stomatitis,14
vaccinia virus,14
smallpox,13
meningitis,13
thrombocytopenia,13
bacterial pneumonia,12
cirrhosis,12
plague,11
acute respiratory distress syndrome,11
cardiovascular disease,11
syphilis,11
encephalomyelitis,10
respiratory failure,10
yellow fever,,10
hand, foot, and mouth disease,9
anthrax,9
encephalopathy,9
herpes zoster,9
dengue fever,,9
leukemia,9
severe acute respiratory syndrome,9
filariasis,8
cowpox,8
asthma,7
myocarditis,7
cholestasis,7
infectious disease.,7
dengue hemorrhagic fever,7
lung cancer,7
hepatocellular carcinoma,7
cardiovascular disease,,7
myelitis,7
conjunctivitis,7
viral hepatitis.,7
monkeypox,6
lymphoma,6
breast cancer,6
heart disease,,6
rheumatoid arthritis,6
lymphocytic choriomeningitis,6
tick-borne encephalitis,6
allergy,5
cryoglobulinemia,5
vasculitis,5
multiple sclerosis,5
viral pneumonia,5
cervical cancer,5
infectious disease,,5
cystic fibrosis,5
diphtheria,5
obesity,5
diabetes mellitus,5
dermatitis,5
atopic dermatitis,4
lung disease,4
respiratory failure,,4
dengue hemorrhagic fever.,4
hand, foot and mouth disease,4
venezuelan equine encephalitis,4
avian influenza,,4
rhinitis,4
dengue fever.,4
herpangina,4
liver disease.,4
eastern equine encephalitis,4
bacterial pneumonia,,4
viral hepatitis,,4
rheumatoid arthritis,,4
epilepsy,4
colitis,4
mouth disease,,4
shortness,4
chronic obstructive pulmonary disease,4
lupus erythematosus,3
dengue hemorrhagic fever,,3
hand, foot and mouth disease,,3
allergic rhinitis,,3
cervical cancer.,3
avian influenza.,3
anemia,3
mumps,3
stroke,3
colorectal cancer,3
alcoholic hepatitis,3
spotted fever,3
rift valley fever,3
fatty liver disease,3
pulmonary tuberculosis,3
multiple myeloma,3
allergic rhinitis,3
systemic lupus erythematosus,3
heart disease,3
toxic shock syndrome,3
prostate cancer,3
aspergillosis,3
aseptic meningitis,3
viral meningitis,2
neurodegeneration,2
pertussis,2
retinitis,2
bladder cancer,2
ovarian cancer,2
peritonitis,2
autoimmune disease,2
respiratory failure.,2
pharyngitis,2
cysticercosis,2
typhus,2
myelodysplastic syndrome,2
cerebral palsy,,2
sleeping sickness,2
lymphadenitis,2
lymphadenopathy,2
relapsing fever,2
viral pneumonia,,2
rubella,2
viral pneumonia.,2
pulmonary edema,2
neutropenia,2
bronchiolitis,2
autoimmune hepatitis,2
tenosynovitis,2
mastitis,2
heart disease.,2
acute myocardial infarction,2
atopic dermatitis.,2
rhabdomyosarcoma,2
alcoholic hepatitis,,2
mantle cell lymphoma,,2
glanders,2
autoimmune hepatitis,,2
laryngotracheitis,2
breast cancer.,2
yellow fever.,2
gonorrhea,2
poliomyelitis,2
bacterial pneumonia.,2
toxic shock syndrome.,2
pure red cell aplasia,2
epididymitis,2
sarcoma,2
myositis,2
hand, foot, and mouth disease.,2
typhoid fever,2
respiratory disease,,2
chronic obstructive pulmonary disease;,2
meningoencephalitis,2
pneumonic plague,2
tertiary syphilis,2
respiratory disease.,2
typhoid fever.,2
mouth disease.,2
neuropathy,2
hemorrhagic disease,2
leptospirosis,2
congenital syphilis,2
pneumothorax,2
pancreatic cancer,2
acute leukemia,,2
