drug,count
ribavirin,217
chloroquine,147
Ribavirin,86
acyclovir,80
hydroxychloroquine,68
Chloroquine,65
amantadine,53
lamivudine,53
alpha,51
ganciclovir,49
zanamivir,48
cidofovir,43
lopinavir,40
ritonavir,36
sofosbuvir,34
Hydroxychloroquine,32
adenosine,31
alanine,30
zidovudine,30
Ganciclovir,29
Cidofovir,29
azithromycin,28
Amantadine,26
rimantadine,25
entecavir,25
Lamivudine,24
valacyclovir,24
penciclovir,23
ethanol,22
boceprevir,22
valganciclovir,22
Zanamivir,20
efavirenz,19
alcohol,19
Sofosbuvir,18
telaprevir,18
artemisinin,18
cyclosporine,17
mycophenolic acid,17
dimethyl sulfoxide,17
dried,17
peramivir,16
prednisolone,15
Valacyclovir,15
famciclovir,15
Ritonavir,14
nelfinavir,14
ibuprofen,13
niclosamide,13
estrogen,13
nevirapine,13
dexamethasone,13
Penciclovir,13
acetaminophen,13
Telaprevir,13
Efavirenz,12
Rimantadine,12
tacrolimus,12
doxycycline,12
Artemisinin,12
Valganciclovir,12
telbivudine,11
daclatasvir,11
adenine,11
glycine,10
abacavir,10
Zidovudine,10
stavudine,10
methotrexate,10
simeprevir,10
artesunate,10
quinine,10
didanosine,10
vidarabine,9
Saquinavir,9
Serine,9
eltrombopag,9
nifedipine,9
methylprednisolone,9
streptomycin,9
hydrocortisone,9
saquinavir,9
nitric oxide,9
mycophenolate mofetil,9
5-Fluorouracil,9
omeprazole,9
ledipasvir,8
atazanavir,8
Daclatasvir,8
maraviroc,8
Simeprevir,8
Abacavir,8
Entecavir,8
Nelfinavir,8
dopamine,8
Peramivir,8
Famciclovir,8
camostat,8
doxorubicin,7
leucine,7
imatinib,7
prednisone,7
Artesunate,7
Niclosamide,7
Ibuprofen,7
glutathione,7
aspirin,7
ST-246,7
Emtricitabine,7
digoxin,7
succinate,7
rilpivirine,7
ouabain,7
emtricitabine,7
Atazanavir,7
cytarabine,6
Acetaminophen,6
FK506,6
cyclosporin A,6
crystal violet,6
ursodeoxycholic acid,6
tenofovir alafenamide,6
dasabuvir,6
paclitaxel,5
Mycophenolate mofetil,5
rapamycin,5
sorafenib,5
velpatasvir,5
Baloxavir marboxil,5
creatine,5
1-adamantanamine,5
Vidarabine,5
fluorescein,5
Quinine,5
glycerol,5
folate,5
Nevirapine,5
pyruvate,5
Omeprazole,5
Foster,5
Doxycycline,5
aciclovir,5
indomethacin,5
palbociclib,5
chondroitin sulfate,5
pentobarbital,4
memantine,4
chlorpromazine,4
Ciprofloxacin,4
Tacrolimus,4
amiloride,4
Idoxuridine,4
Aspartate,4
manidipine,4
grazoprevir,4
tetracycline,4
chloramphenicol,4
toremifene,4
Estrogen,4
sirolimus,4
cisplatin,4
vitamin C,,4
Ethanol,4
azathioprine,4
midostaurin,4
6-mercaptopurine,4
Azithromycin,4
Alcohol,4
pimozide,4
6-thioguanine,4
leflunomide,4
folic acid,4
mirtazapine,4
acetylcholine,4
melatonin,4
mycophenolic acid,,4
Methotrexate,4
etravirine,4
Toremifene,4
vitamin C,4
Prompt,4
fluorouracil,4
Palbociclib,4
raloxifene,4
temozolomide,3
nitro,3
mycophenolate mofetil,,3
tofacitinib,3
atovaquone,3
idoxuridine,3
hexachlorophene,3
clarithromycin,3
doravirine,3
risperidone,3
Stavudine,3
valsartan,3
Velpatasvir,3
Atovaquone,3
Atenolol,3
warfarin,3
crystal violet.,3
disulfiram,3
ivermectin,3
Fluorouracil,3
tipranavir,3
Doravirine,3
Diphyllin,3
norepinephrine,3
N-acetylcysteine,3
Loperamide,3
Podophyllotoxin,3
Spironolactone,3
Dopamine,3
prostaglandin E2,3
tivozanib,3
anhydrous,3
Kaletra,3
isoflurane,3
sertindole,3
pyridoxal,3
digitoxin,3
Methylprednisolone,3
Nitric Oxide,3
phenol,3
etoposide,3
rifampicin,3
mercaptopurine,3
Etravirine,3
Telbivudine,3
mitoxantrone,3
acetylcysteine,3
phosphatidylserine,3
Today,3
tenofovir alafenamide;,3
Thalidomide,2
donepezil,2
Glycine,2
dimethyl sulphoxide,2
dasatinib,2
amprenavir,2
cobicistat,2
penicillin G,,2
mefenamic acid,2
loperamide,2
thiamine,2
mebendazole,2
Raloxifene,2
Pyrilamine,2
dactinomycin,2
Lovastatin,2
Donepezil,2
Adenosine,2
benzyl ester,2
Levofloxacin,2
Disulfiram,2
sulfadoxine,2
theophylline,2
Buprenorphine,2
L-phenylalanine,2
ketorolac,2
MK-1439,2
25(OH)D,2
sacubitril,2
abemaciclib,2
Cyproheptadine,2
Artemether,2
meropenem,2
ursodeoxycholic acid,,2
perindopril,2
papaverine,2
Gallium nitrate,2
Mitoxantrone,2
Hesperetin,2
verapamil,2
retinoic acid,,2
RWJ-270201,2
Eugenol,2
Sertindole,2
metoclopramide,2
atenolol,2
Ribavirine,2
ribociclib,2
irbesartan,2
Zalcitabine,2
Tivozanib,2
Loratadine,2
bortezomib,2
tamoxifen,2
decitabine,2
misoprostol,2
Midostaurin,2
Leflunomide,2
Orlistat,2
Taxol,2
telmisartan,2
salicylamide,2
Nifedipine,2
ketoprofen,2
guanidine,2
rifampin,2
ombitasvir,2
6-Mercaptopurine,2
bithionol,2
zalcitabine,2
retinoic acid,2
Cladribine,2
Pifeltro,2
tecovirimat,2
Hydroxyurea,2
trans-,2
nafamostat,2
Glutamine,2
Tipranavir,2
diclofenac,2
formoterol,2
Perphenazine,2
Cipro,2
Acetylcysteine,2
Hexachlorophene,2
Mercaptopurine,2
ampicillin,2
Pyrimethamine,2
lorazepam,2
Irbesartan,2
Dimethyl sulfoxide,2
ethyl ester,2
CaCO3,2
Pantoprazole,2
Clozapine,2
L-valine,2
glycopyrronium,2
Thiothixene,1
sodium salt,1
Olanzapine,1
Dihomo-γ-linolenic acid,1
Azidothymidine,1
midazolam,1
equilin,1
Meropenem,1
PSI-7977,1
teniposide,1
kanamycin,1
Tris base.,1
dimethyl sulfoxide.,1
cortisol,1
Fluspirilene,1
sodium salt;,1
Imipenem,1
Ademetionine,1
cladribine,1
L-methionine,1
carfilzomib,1
Valaciclovir,1
oxcarbazepine,1
Ombitasvir,1
Arginine,1
Rotigotine,1
chondroitin sulfate;,1
dibasic,1
metformin,1
deferoxamine,1
carprofen,1
penicillamine,1
Amiodarone,1
tiotropium,1
D-penicillamine,1
thalidomide,1
mitomycin,1
sulfasalazine,1
Sulfadoxine,1
Piracetam,1
Chondroitin sulfate,,1
VX-950,1
cyclosporin A.,1
fosamprenavir,1
Memantine,1
Sorafenib,1
Metformin,1
SCH 503034,1
argatroban,1
Nintedanib,1
Fentanyl,1
Nelarabine,1
caffeine,1
4-amino-10-methylfolic acid,1
fumaric acid,1
tigecycline,1
Allopurinol,1
Etoposide,1
vemurafenib,1
bromhexine,1
Sodium Bicarbonate,1
Clarithromycin,1
Clomipramine,1
Metoclopramide,1
urethane,1
AdoMet,1
Telmisartan,1
pirfenidone,1
Amoxicillin,1
nitric oxide,,1
Monobenzone,1
Perindopril,1
Xofluza,1
2-beta,1
2-Amino-9-beta-D-arabinofuranosyl-6-methoxy-9H-purine,1
ethyl alcohol,1
Prostaglandin E,1
Amantidine,1
Quetiapine,1
Paroxetine,1
denatured,1
tromethamine,1
amphotericin B,1
Orphenadrine,1
Rifabutin,1
hydroxyurea,1
Chondroitin sulfate,1
Benztropine,1
olmesartan,1
Pregabalin,1
spironolactone,1
Amiloride,1
astemizole,1
Indapamide,1
Terconazole,1
Ciprobay,1
Furosemide,1
Relenza,1
buprenorphine,1
rifabutin,1
carvedilol,1
Misoprostol,1
crystal violet,,1
chlorpheniramine,1
Nafamostat,1
linezolid,1
oxaliplatin,1
chlorhexidine,1
Phosphatidylserine,1
sulfadiazine,1
quinacrine,1
Mesalazine,1
Digoxin,1
Sulfalene,1
Dapsone,1
linolenic acid,1
folic acid,,1
Felodipine,1
Methionine,1
Trametinib,1
ezetimibe,1
cabazitaxel,1
silver sulfadiazine,1
Topiramate,1
Gabapentin,1
Imiquimod,1
celecoxib,1
Lactulose,1
suberoylanilide hydroxamic acid,1
Ruxolitinib,1
fingolimod,1
trabectedin,1
Paclitaxel,1
salicylic acid,,1
3beta,1
posaconazole,1
suberoylanilide hydroxamic acid;,1
artemether,1
Duloxetine,1
Tamoxifen,1
paroxetine,1
vitamin D3,1
amoxicillin,1
Quinapril,1
Dimethyl sulphoxide,1
capecitabine,1
Paritaprevir,1
Risperidone,1
piperazine,1
Sertraline,1
Virazole®,1
Indomethacin,1
NaHCO3,1
TMC 435350,,1
diltiazem,1
Pimozide,1
nitrofurantoin,1
everolimus,1
docetaxel,1
pentoxifylline,1
Adenine,1
Dactinomycin,1
levothyroxine,1
pentamidine,1
thiabendazole,1
ε-aminocaproic acid,,1
propofol,1
alfacalcidol,1
Rivaroxaban,1
Histidine,1
rabeprazole,1
pyrimethamine,1
Carbamazepine,1
Triprolidine,1
Methyldopa,1
Theophylline,1
Baiguo,1
2-alpha,1
Aclacinomycin A,1
Sulpiride,1
fluoxetine,1
benzoic acid,1
benzocaine,1
Tryptophan,1
Bithionol,1
Manidipine,1
nelarabine,1
chlorcyclizine,1
methyl ester,1
Tramadol,1
ethyl ester,,1
topiramate,1
Simvastatin,1
biotin,1
Tetracycline,1
Equilin,1
Eplerenone,1
Carfilzomib,1
Desferrioxamine,1
felodipine,1
mycophenolate mofetil;,1
Oxycodone,1
Ibrutinib,1
hydroquinone,1
acycloguanosine,1
tenofovir alafenamide,,1
1-beta-D-Arabinofuranosylcytosine,1
Cimetidine,1
Celecoxib,1
Pepstatin,1
Chlorcyclizine,1
Gliclazide,1
ciprofloxacin,1
