drugs,count
ribavirin,31
oseltamivir,30
tenofovir,12
bortezomib,10
adenosine,10
isoflurane,9
amantadine,8
telbivudine,7
lamivudine,7
zanamivir,7
doxycycline,6
ketamine,6
streptomycin,6
sofosbuvir,6
ipilimumab,5
dolutegravir,5
gemcitabine,5
nivolumab,5
peramivir,5
isoniazid,5
tetracycline,5
nitric oxide,4
palivizumab,4
chloroquine,4
zidovudine,4
hyaluronidase,4
ceftriaxone,4
idoxuridine,4
desipramine,4
ciprofloxacin,4
ifenprodil,3
ganciclovir,3
carbamazepine,3
penciclovir,3
raxibacumab,3
trimethoprim,3
decitabine,3
methylcellulose,3
ceftazidime,3
valaciclovir,3
famciclovir,3
emtricitabine,3
pamidronate,3
clenbuterol,3
linezolid,3
dimethyl sulfoxide,3
cyclophosphamide,2
vancomycin,2
azacitidine,2
efavirenz,2
pentobarbital,2
bambuterol,2
elvitegravir,2
carfilzomib,2
ifosfamide,2
ofloxacin,2
dasatinib,2
pyridoxine,2
fingolimod,2
mycophenolic acid,2
iodixanol,2
tipiracil,2
vidarabine,2
pregabalin,2
labetalol,2
cobicistat,2
medetomidine,2
rilpivirine,2
methamphetamine,2
calcitonin,2
ritodrine,2
chloramphenicol,2
metronidazole,2
rimantadine,2
progesterone,2
raltegravir,2
docetaxel,2
levofloxacin,2
sirolimus,2
dextran,2
cisplatin,2
dexamethasone,2
trifluridine,2
sulfadiazine,2
chorionic gonadotropin,2
cytarabine,1
oxytetracycline,1
vorinostat,1
zoledronate,1
clofibrate,1
iohexol,1
hydroxychloroquine,1
folic acid,,1
valproic acid,1
zafirlukast,1
ezetimibe,1
sulfamethoxazole,1
phenol,1
abacavir,1
pirbuterol,1
floxuridine,1
atropine,1
estradiol,1
paclitaxel,1
methylprednisolone,1
entecavir,1
trastuzumab,1
doxapram,1
amoxicillin,1
rifampicin,1
meropenem,1
clofarabine,1
carbenicillin,1
permethrin,1
methadone,1
stavudine,1
imatinib,1
amoxapine,1
aztreonam,1
rifabutin,1
toremifene,1
pristinamycin,1
acepromazine,1
simeprevir,1
puromycin,1
oxaliplatin,1
folic acid,1
moxifloxacin,1
irinotecan,1
tacrolimus,1
tazobactam,1
didanosine,1
clarithromycin,1
naloxone,1
fenoterol,1
