disease,count
hepatitis,160
influenza,146
severe acute respiratory syndrome,54
herpes simplex,50
cancer,38
pneumonia,37
suppression,26
encephalitis,25
cirrhosis,24
hepatocellular carcinoma,22
infectious disease,18
leukemia,15
stomatitis,15
chikungunya,13
avian influenza,11
diarrhea,11
anemia,10
viral hepatitis,10
neuropathy,10
vaccinia virus,10
mouth disease,9
liver disease,9
thrombocytopenia,9
diabetes mellitus,9
breast cancer,8
hepatocellular carcinoma.,7
yellow fever,7
conjunctivitis,7
malaria,7
retinitis,6
dementia,6
aids,6
liver disease,,6
poliomyelitis,6
viral disease,6
tick-borne encephalitis,6
peripheral neuropathy,6
measles,6
asthma,5
viral pneumonia,5
hand, foot and mouth disease,5
respiratory disease,5
rash,5
neuroblastoma,5
dengue fever,5
sarcoma,5
keratitis,5
arthritis,5
myopathy,5
shortness,5
chronic obstructive pulmonary disease,5
lung disease,4
diabetes mellitus,,4
meningitis,4
gastroenteritis,4
respiratory disease,,4
hepatocellular carcinoma,,3
atherosclerosis,3
allergy,3
smallpox,3
acute respiratory distress syndrome,3
common cold,3
vaccinia virus,,3
hepatoblastoma,3
glomerulonephritis,3
hand, foot, and mouth disease,3
lymphoma,3
nephropathy,3
encephalopathy,3
herpes zoster,3
colorectal cancer,3
rheumatoid arthritis,3
progressive multifocal leukoencephalopathy,3
viral hepatitis,,3
peripheral neuropathy,,3
rabies,3
liver cancer,3
neurodegeneration,2
interstitial nephritis,2
common variable immunodeficiency,2
myeloid leukemia,2
primary biliary cirrhosis,,2
herpes simplex.,2
hemolytic anemia,,2
diabetes mellitus.,2
liver cancer.,2
multiple sclerosis,2
acute lymphoblastic leukemia;,2
diabetes mellitus;,2
acute lymphoblastic leukemia,2
lipodystrophy,2
glaucoma,2
hypogammaglobulinemia,2
leukopenia,2
myocarditis,2
neutropenia,2
dyslipidemia,2
nasopharyngeal carcinoma,,2
cystitis,2
infectious mononucleosis,2
nasopharyngeal carcinoma,2
herpangina,2
dengue hemorrhagic fever,2
acute leukemia,2
aplastic anemia,2
respiratory failure,2
macular degeneration,2
dengue fever,,2
retinopathy,2
lymphocytic choriomeningitis,2
systemic lupus erythematosus.,2
hypoglycemia,2
hepatic encephalopathy,2
lymphoblastic leukemia,2
lymphoblastic leukemia;,2
colitis,2
cystic fibrosis.,2
nephritis,2
meningoencephalitis,2
lupus erythematosus.,2
severe combined immunodeficiency,2
cowpox,2
hypersensitivity,2
acute myeloid leukemia,2
pericarditis,2
lactic acidosis,,2
acute leukemia,,2
microcephaly,2
prostate cancer,2
aseptic meningitis,2
lupus erythematosus,1
hepatocellular carcinoma;,1
marburg virus disease.,1
periodontal disease,1
eosinophilia,1
aseptic meningitis,,1
encephalomyelitis,1
cerebral malaria.,1
motor neuron disease,1
membranous glomerulonephritis,,1
tuberculosis,1
chronic kidney disease,,1
eye disease,,1
respiratory failure.,1
pancreatitis,1
respiratory failure,,1
pulmonary fibrosis,,1
common cold.,1
chronic kidney disease,1
herpes simplex,,1
metabolic syndrome,,1
liver cancer,,1
migraine,1
cataract,1
esophageal varices,,1
congenital heart block.,1
myelodysplastic syndrome,1
atrial fibrillation,1
retinoblastoma,1
neurological disorder,1
pulmonary edema,1
viral disease,,1
lymphocytopenia,1
viral disease.,1
colon cancer.,1
eczema herpeticum,,1
hepatic encephalopathy.,1
monkeypox,1
infectious disease.,1
hepatic encephalopathy;,1
gastrointestinal disease,,1
bacterial pneumonia,1
cardiomyopathy,1
macular degeneration,,1
mycosis,1
infectious mononucleosis.,1
membranous glomerulonephritis,1
liver disease.,1
diabetic retinopathy,,1
nephrotic syndrome,1
lung cancer,1
primary biliary cirrhosis,1
rhabdomyosarcoma,1
portal hypertension,,1
cardiovascular disease.,1
uveitis,1
autoimmune hepatitis,,1
breast cancer.,1
retinal detachment,,1
yellow fever,,1
eye disease,1
progressive multifocal leukoencephalopathy,,1
bacterial pneumonia.,1
purpura,1
cardiovascular disease,1
hairy leukoplakia,1
acute respiratory distress syndrome;,1
colorectal cancer.,1
retinal edema,1
bacterial pneumonia,,1
acute respiratory distress syndrome,,1
acute respiratory distress syndrome.,1
subacute sclerosing panencephalitis,1
hemolytic anemia,1
peripheral neuropathy.,1
schizophrenia,1
chronic obstructive pulmonary disease;,1
respiratory disease.,1
kidney failure,,1
portal hypertension,1
sexual dysfunction,1
lung disease.,1
substance abuse,,1
severe acute respiratory syndrome,,1
herpes zoster,,1
exanthem,1
mouth disease,,1
cardiac arrest,1
hyperglycemia,1
hypokalemia,1
systemic lupus erythematosus,1
leukoplakia,1
chronic obstructive pulmonary disease,,1
colon cancer,1
chronic obstructive pulmonary disease.,1
urticaria,1
