drugs,count
hidroxicloroquina,12
azitromicina,10
tocilizumab,4
palivizumab,4
ceftriaxona,4
everolimus,4
meticilina,3
ciclosporina,3
chloroquine,3
ciprofloxacino,3
anakinra,3
cloroquina,3
tenofovir,2
levofloxacino,2
aciclovir,2
ustekinumab,2
hydroxychloroquine,2
ritonavir,2
enalapril,2
azithromycin,2
omeprazol,2
fluconazol,2
amoxicilina,2
calcitriol,2
tofacitinib,2
sirolimus,2
colistina,2
rifampicina,2
tacrolimus,2
trazodona,2
prednisolona,2
metotrexato,2
mesalazina,2
sorafenib,1
adalimumab,1
dexametasona,1
pravastatina,1
cholecalciferol,1
efavirenz,1
nitric oxide,1
ribavirin,1
bacitracina,1
metronidazol,1
atorvastatina,1
amikacina,1
prednisona,1
tobramycin,1
clobetasol,1
minociclina,1
atazanavir,1
paracetamol,1
dexamethasone,1
cyclosporine,1
metilprednisolona,1
metformin,1
cefoxitina,1
cicloheximida,1
