drugs,count
oseltamivir,45
amantadine,18
adenosine,16
streptomycin,16
ribavirin,16
zanamivir,16
chloroquine,14
sofosbuvir,9
rimantadine,9
peramivir,8
itraconazole,8
methotrexate,7
silibinin,6
posaconazole,6
nitric oxide,5
methylprednisolone,5
dextran,5
hydroxychloroquine,4
cidofovir,4
azithromycin,4
pentobarbital,4
tryptophan,4
sulfasalazine,4
niclosamide,4
puromycin,4
doxycycline,3
vancomycin,3
palivizumab,3
methylcellulose,3
ketamine,3
rifampicin,3
permethrin,3
ampicillin,3
paracetamol,3
ketotifen,2
tenofovir,2
nitazoxanide,2
xylometazoline,2
fluoxetine,2
entecavir,2
prednisolone,2
methamphetamine,2
emtricitabine,2
prednisone,2
naltrexone,2
dimethyl sulfoxide,2
dexamethasone,2
amodiaquine,2
inosine,1
infliximab,1
ivabradine,1
cilastatin,1
midazolam,1
folic acid,,1
furosemide,1
lovastatin,1
milrinone,1
efavirenz,1
azathioprine,1
kanamycin,1
clodronate,1
pioglitazone,1
imipenem,1
nitric oxide,,1
esmolol,1
polysorbate,1
celecoxib,1
meloxicam,1
memantine,1
anakinra,1
paroxetine,1
ascorbic acid.,1
ascorbic acid,,1
gemcitabine,1
lamivudine,1
amoxicillin,1
prochlorperazine,1
nicotinamide,1
meropenem,1
oxymorphone,1
ursodeoxycholic acid,,1
medetomidine,1
gemfibrozil,1
l-phenylalanine,1
caspofungin,1
rilpivirine,1
cloxacillin,1
digoxin,1
pamidronate,1
chloramphenicol,1
tetracycline,1
leflunomide,1
bumetanide,1
trifluoperazine,1
sirolimus,1
isoflurane,1
etidronic acid,,1
chlortetracycline,1
