,ArticleId,Text
0,PMC7188425,this review will briefly examine the clinical presentation and important immunology of viral pneumonia with a focus on severe acute respiratory syndrome coronavirus 2  coronavirus disease 2019
1,PMC7294903,all ct scans detected ggos  symptomatic patients were 25 33  75 7    at the clinical presentation  they reported fever and dry cough  in six out of 25 cases  dyspnea was also reported  24    thirty three  33  100   showed ggo at ct  15 33  45 45   presented pure ggo  and 18 33  54 54   showed ggo with consolidation  the rt pcr assay was negative in 100   we investigated other potential underlying diseases to explain imaging features  neoplastic causes  8 33  24 24   and non neoplastic causes  in particular  infectious pneumonias  16 33  48 48    viral and fungal   interstitial pneumonias  4 33  12 12    and cardio pulmonary disease  5 33  15 15  we enrolled 33 patients admitted to policlinico universitario g  b  rossi who underwent non contrast enhanced  nce  or contrast enhanced  ce  chest computed tomography  ct  between march 12 and april 12  all patients with ct detected ground glass opacity  ggo  were included  all patients resulted as covid 19 negative at the reverse transcription polymerase chain reaction  rt pcr  assay  we studied the different pathologies underlying ggo features  neoplastic diseases and non neoplastic diseases  viral pneumonias  interstitial pneumonias  and cardiopulmonary diseases  in order to avoid pitfalls and to reach the correct diagnosis  ggo remains a diagnostic challenge  although ct represents a fundamental diagnostic tool because of its sensitivity  it still needs to be integrated with clinical data to achieve the best clinical management  in the presence of typical imaging features  e g  ggo and consolidation   the radiologist should focus on the pandemic and manage a suspect patient as covid 19 positive until proven to be negative  to study ground glass opacities  ggo  not only from the coronavirus 2019  covid 19  pneumonia  perspective but also as a radiological presentation of other pathologies with comparable features
2,PMC7080275,understanding the transition of epidemic to endemic dengue transmission remains a challenge in regions where serotypes co circulate and there is extensive human mobility  french polynesia  an isolated group of 117 islands of which 72 are inhabited  distributed among five geographically separated subdivisions  has recorded mono serotype epidemics since 1944  with long inter epidemic periods of circulation  laboratory confirmed cases have been recorded since 1978  enabling exploration of dengue epidemiology under monotypic conditions in an isolated  spatially structured geographical location  a database was constructed of confirmed dengue cases  geolocated to island for a 35 year period  statistical analyses of viral establishment  persistence and fade out as well as synchrony among subdivisions were performed  seven monotypic and one heterotypic dengue epidemic occurred  followed by low level viral circulation with a recrudescent epidemic occurring on one occasion  incidence was asynchronous among the subdivisions  complete viral die out occurred on several occasions with invasion of a new serotype  competitive serotype replacement has been observed previously and seems to be characteristic of the south pacific  island population size had a strong impact on the establishment  persistence and fade out of dengue cases and endemicity was estimated achievable only at a population size in excess of 175 000  despite island remoteness and low population size  dengue cases were observed somewhere in french polynesia almost constantly  in part due to the spatial structuration generating asynchrony among subdivisions  long term persistence of dengue virus in this group of island populations may be enabled by island hopping  although could equally be explained by a reservoir of sub clinical infections on the most populated island  tahiti  dengue virus is the most significant arthropod borne virus infecting man  understanding how long dengue virus can persist in populations of varying size is key to understanding its epidemiology  this is  however  impossible to achieve in settings where dengue is endemic  because of continued human movement and is further complexified by the occurrence of several co circulating serotypes  by contrast  french polynesia  an isolated group of 72 inhabited islands in the south pacific  has had intermittent majoritarily monotypic dengue epidemics since the 1940s and offers a unique opportunity to address questions of viral persistence  turnover and the importance of spatial sub structure in determining dengue epidemiology  collating and analyzing a database of laboratory confirmed dengue cases from across french polynesia over a 35 year period we were able to show that dengue virus die out can occur with or without replacement by a new serotype  monotypic transmission of dengue viruses fails to be maintained within small island populations but can persist for years among isolated islands connected via air and sea links  this remarkable long term persistence of dengue virus in french polynesia could be maintained by asynchronous viral transmission among connected islands and or by repeated seeding from a reservoir of sub clinical infections in the most populated island  tahiti
3,PMC7194918,the recent global pandemic created by the coronavirus sars cov 2  started in wuhan  china in december 2019  has generated panic  both in term of human death  4 5  of infected patients identified through testing  and the global economy  human sufferings seem to be continuing  and it is not clear how long this will continue and how much more destruction it is going to cause until complete control is achieved  one of the most disturbing issues is covid 19 treatment  although a large number of medications  previously used successfully with other viruses  including chinese herbal medicines and anti malaria drugs   are under consideration  there remain questions as to whether they can play a satisfactory role for this disease  global attempts are ongoing to find the drugs for the treatment of this virus but none of the antiviral drugs used for treatment of other human viral infection is working and hence attempts to find new drugs are continuing  here the author is proposing that 5 fluorouracil  5 fu  which when used on its own is failing as an antiviral agent due to the removal of this compound by proof reading ability exceptionally found in coronaviruses  the author here is proposing to test 5 fu in combination with a number of deoxynucleosides on animal models infected with this covid 19  should encouraging results ensue  therapies could then be tried on patients
4,PMC7258708,discriminating between patients with microbial infections that cause secondary immune effects from those with the same infection who have primary immune deficiency disease can be difficult  there are many microbes that temporarily  stun  innate and or adaptive immunity during a primary infection  the common result of temporary inhibition  or permanent depletion of host immunity during some primary infections is the development of superinfections of other microbes that cause significant morbidity  and on occasion  mortality  in addition  microbes that cause persistent infection  such as the human immune deficiency virus  deplete effective immunity over time and can also lead to secondary infections with other microbes ultimately leading to death if not appropriately treated  in some cases  such as influenza virus infection  mortality can be dramatic due in large part to acquired secondary bacterial infections  many microbes manipulate host immunity and thereby inhibit the ability of patients to combat secondary microbial infections  the overall survival of patients primarily infected with some viruses  parasites  or bacteria  is closely linked to the ability of secondary infections to take advantage of the immune modulation induced by the primary infection  herein we discuss some of the secondary immune defects caused by select viruses  measles  influenza  hiv1  htlv   parasites   leishmania  malaria   and bacteria
5,PMC7122136,this chapter is a short survey in table form concerning clinical types of infections  the most important microbes in medicine  recommended methods to isolate patients with infections and recommended use of personal protective equipment
6,PMC7122469,acute respiratory infection  ari  is an important cause of childhood morbidity and mortality worldwide  aris are caused primarily by viruses and bacteria that are often co detected in respiratory specimens  although viral bacterial co infections are frequently reported in children with ari  their clinical significance and the mechanisms leading to ari are not well understood  the respiratory tract is a reservoir of a diverse community of microorganisms  including both commensals and potential pathogens and there is growing evidence that the interactions between viruses and bacteria play a key role in the development of ari  a better understanding of the interactions between viruses and bacteria in the respiratory tract may enhance insight into the pathogenesis of ari  and potentially reveal new prevention and treatment strategies  this chapter summarizes the current knowledge on viruses  bacteria and viral bacterial interactions in childhood ari and the possible mechanisms by which these interactions may lead to disease
7,PMC7150051,within the ecosystems  the balance is important since the populations maintain their size and the food habits that are constant over time  in contrast  the disappearance of natural sources or the alteration of habitat at different levels can cause major changes in the very structure of the ecosystem  alterations in the habitats produced by human activity result in global warming  climatic changes  which together with globalization  increased trade  the shortening of distances thanks to transport  the increase in population and the socioeconomic activities of human cause imbalances  in many cases the vectors and hosts have adapted to the changes and have risen to higher latitudes and altitudes  which could contribute to the appearance of outbreaks or new outbreaks of new arboviruses of public health importance  different cohabiting species can be reservoirs or vectors of arboviruses such as alphaviruses and flaviviruses  currently  some viruses transmitted by mosquito vectors  such as dengue virus  zika virus  and chikungunya virus  have caused epidemic outbreaks with important effects on human populations  it is possible that the expansion of vectors and their diseases reaches developed countries such as the united states and the european union with a great impact on public health  the clinical signs of the diseases produced by arboviruses can vary from nonspecific febrile syndrome  encephalitis  hemorrhagic fever  and even death  vectors and reservoirs in some cases are insects  such as mosquitoes and ticks  wild birds are reservoirs for the west nile virus  small wild mammals such as rodents  bats  and domestic animals involved in food production can potentially harbor arboviruses  and the ecoepidemiological role of these is unknown
8,PMC7107203,in december 2019  several patients with pneumonia of an unknown cause were detected in wuhan  china  on 7 january 2020  the causal organism was identified as a new coronavirus  later named as the 2019 novel coronavirus  2019 ncov   genome sequencing found the genetic sequence of 2019 ncov homologous to that of severe acute respiratory syndrome associated coronavirus  as of 29 january 2020  the virus had been diagnosed in more than 7000 patients in china and 77 patients in other countries  it is reported that both symptomatic and asymptomatic patients with 2019 ncov can play a role in disease transmission via airborne and contact  this finding has caused a great concern about the prevention of illness spread  the clinical features of the infection are not specific and are often indistinguishable from those of other respiratory infections  making it difficult to diagnose  given that the virus has a strong ability to spread between individuals  it is of top priority to identify potential or suspected patients as soon as possible or the virus may cause a serious pandemic  therefore  a precision medicine approach to managing this disease is urgently needed for detecting and controlling the spread of the virus  in this article  we present such an approach to managing 2019 ncov related pneumonia based on the unique traits of the virus recently revealed and on our experience with coronaviruses at west china hospital in chengdu  china
9,PMC6721507,dengue fever caused by dengue virus is a common tropical infection transmitted by the mosquitos
